ActTr,popul_1.9mi
400.00,390.00
418.00,923.00
498.00,1486.00
505.00,339.00
575.00,2265.00
755.00,4084.00
789.00,652.00
978.00,1597.00
1209.00,3647.00
1313.00,2574.00
1339.00,5387.00
1517.00,1225.00
1531.00,1684.00
1535.00,4263.00
1681.00,3493.00
1835.00,3179.00
1863.00,6163.00
1863.00,725.00
1877.00,5181.00
1956.00,3563.00
1968.00,7769.00
1986.00,7337.00
2099.00,4206.00
2149.00,1662.00
2222.00,6794.00
2239.00,3373.00
2319.00,4900.00
2328.00,4571.00
2454.00,5509.00
2627.00,7165.00
2633.00,4201.00