ActTr,Revenue
1863.00,63290.00
1956.00,62860.00
261.00,27740.00
591.00,58430.00
2328.00,64130.00
1234.00,79920.00
1517.00,65390.00
573.00,77720.00
400.00,49860.00
1209.00,66880.00
739.00,58770.00
1863.00,61750.00
2633.00,65060.00
1877.00,70760.00
863.00,68760.00
2099.00,66030.00
1841.00,71710.00
1681.00,66270.00
1835.00,65940.00
498.00,26690.00
1968.00,77030.00
1207.00,148140.00
899.00,148580.00
2627.00,63860.00
2149.00,57500.00
2454.00,50330.00
484.00,90000.00
2043.00,72090.00
1535.00,68520.00
1313.00,65970.00
2222.00,68220.00
2239.00,67990.00
505.00,46640.00
1339.00,67820.00
755.00,67090.00
418.00,47010.00
2319.00,66220.00
2347.00,56280.00
1357.00,60540.00