ADT_top,ADT_bot,pop_top,pop_bot
NC-302,NC-307,NE-209,NC-307
NC-306,NC-310,SW-517,SW-502
NC-313,NC-311,NW-403,SW-503
NC-314,NE-204,SE-101,SW-501
NE-205,NE-206,NW-404,NE-208
NE-216,NE-208,SW-513,NE-215
NW-401,NE-209,NE-217,NW-405
NW-402,NE-210,NC-310,SE-114
NW-406,NE-211,SW-515,NC-311
NW-407,NE-215,NE-210,NE-206
NW-408,NE-217,SE-107,SE-112
NW-409,NW-403,NE-211,NE-204
NW-412,NW-404,SW-506,NW-412
SE-102,NW-405,SW-514,SW-520
SE-104,SE-101,NE-205,NW-407
SE-107,SE-112,NC-314,SW-504
SE-115,SE-114,SW-505,SW-519
SE-116,SW-501,NW-408,SE-116
SE-117,SW-502,NW-409,
SE-119,SW-503,NE-216,
SW-504,SW-513,NC-302,
SW-505,SW-515,NW-402,
SW-506,SW-517,NC-306,
SW-510,SW-520,SE-104,
SW-512,,SE-102,
SW-514,,NW-406,
SW-518,,SE-117,
SW-519,,SW-510,
,,SW-512,
,,SW-518,
,,NC-313,
,,SE-119,
,,SE-115,
,,NW-401,