ActTr,sum ADT,ID
1681.00,13387.50,NW-408
2149.00,29666.50,SE-117
1339.00,3390.00,SW-514
2319.00,11567.50,SW-518
2633.00,22385.00,NW-401
1968.00,10590.00,SE-104
1863.00,6210.00,NC-302
2454.00,29499.00,SE-119
2222.00,15575.00,SW-510
1956.00,10772.50,NC-306
1535.00,7437.50,SW-505
1877.00,7080.00,NW-402
2239.00,18353.50,SW-512
1313.00,5311.25,SW-506
2627.00,22880.50,SE-115
2328.00,15846.50,NC-313
1835.00,10916.00,NW-409
1863.00,5794.50,NE-216
2099.00,19075.00,NW-406
1517.00,4850.50,NE-205
1986.00,18266.50,SE-102
978.00,3037.50,SE-107