placer,sum ADT
640.00,6210.00
460.00,10772.50
63.33,11383.00
720.00,15846.50
360.00,4025.00
203.33,21828.50
403.33,4850.50
196.67,20756.50
260.00,10260.00
70.00,15697.50
560.00,5794.50
1056.67,22385.00
580.00,7080.00
560.00,6420.00
300.00,13387.50
350.00,10916.00
70.00,15251.50
496.67,18266.50
70.00,10590.00
133.33,24387.50
106.67,9641.00
1050.00,22880.50
926.67,29666.50
306.67,29499.00
310.00,14703.75
543.33,7437.50
213.33,5311.25
820.00,15575.00
1053.33,18353.50
63.33,18633.50
133.33,3390.00
86.67,11900.00
526.67,11567.50
263.33,12660.00
336.67,16980.00