ID,Revenue
NC-302,63290.00
NC-306,62860.00
NC-307,27740.00
NC-310,58430.00
NC-313,64130.00
NE-204,79920.00
NE-205,65390.00
NE-208,77720.00
NE-209,49860.00
NE-211,66880.00
NE-215,58770.00
NE-216,61750.00
NW-401,65060.00
NW-402,70760.00
NW-405,68760.00
NW-406,66030.00
NW-407,71710.00
NW-408,66270.00
NW-409,65940.00
SE-101,26690.00
SE-104,77030.00
SE-112,148140.00
SE-114,148580.00
SE-115,63860.00
SE-117,57500.00
SE-119,50330.00
SW-503,90000.00
SW-504,72090.00
SW-505,68520.00
SW-506,65970.00
SW-510,68220.00
SW-512,67990.00
SW-513,46640.00
SW-514,67820.00
SW-515,67090.00
SW-517,47010.00
SW-518,66220.00
SW-519,56280.00
SW-520,60540.00